no;age;education;married;nodegree;re74;re75;re78;Ins;race;treat;treat_multi
61;17;8;0;1;0;0;0;1;black;1;1
62;29;8;0;1;0;0;1923.938;1;black;1;1
63;35;10;0;1;0;0;4666.236;1;black;1;1
64;27;11;0;1;0;0;549.2984;1;black;1;1
65;29;4;0;1;0;0;762.9146;1;black;1;1
66;28;9;0;1;0;0;10694.29;1;black;1;1
67;27;11;0;1;0;0;0;1;black;1;1
68;23;7;0;1;0;0;0;1;white;1;1
69;45;5;1;1;0;0;8546.715;1;black;1;1
70;29;13;0;0;0;0;7479.656;1;black;1;1
71;27;9;0;1;0;0;0;1;black;1;1
72;46;13;0;0;0;0;647.2046;1;black;1;1
73;18;6;0;1;0;0;0;1;black;1;1
74;25;12;0;0;0;0;11965.81;1;black;1;1
75;28;15;0;0;0;0;9598.541;1;black;1;1
76;25;11;0;1;0;0;18783.35;1;white;1;1
77;22;12;0;0;0;0;18678.08;1;black;1;1
78;21;9;0;1;0;0;0;0;black;1;1
79;40;11;0;1;0;0;23005.6;1;black;1;1
80;22;11;0;1;0;0;6456.697;1;black;1;1
81;25;12;0;0;0;0;0;1;black;1;1
82;18;12;0;0;0;0;2321.107;1;black;1;1
83;38;12;0;0;0;0;4941.849;1;white;1;1
84;27;13;0;0;0;0;0;1;black;1;1
85;27;8;0;1;0;0;0;1;black;1;1
86;38;11;0;1;0;0;0;1;black;1;1
87;23;8;0;1;0;0;3881.284;0;hispanic;1;1
88;26;11;0;1;0;0;17230.96;1;black;1;1
89;21;12;0;0;0;0;8048.603;1;white;1;1
90;25;8;0;1;0;0;0;1;black;1;1
91;31;11;1;1;0;0;14509.93;1;black;1;1
92;17;10;0;1;0;0;0;1;black;1;1
93;25;11;0;1;0;0;0;1;black;1;1
94;21;12;0;0;0;0;9983.784;1;black;1;1
95;44;11;0;1;0;0;0;1;black;1;1
96;25;12;0;0;0;0;5587.503;1;white;1;1
97;18;9;0;1;0;0;4482.845;1;black;1;1
98;42;12;0;0;0;0;2456.153;1;black;1;1
99;25;10;0;1;0;0;0;1;black;1;1
100;31;9;0;1;0;0;26817.6;0;hispanic;1;1
101;24;10;0;1;0;0;0;1;black;1;1
102;26;10;0;1;0;0;9265.788;1;black;1;1
103;25;11;0;1;0;0;485.2298;1;black;1;1
104;18;11;0;1;0;0;4814.627;1;black;1;1
105;19;11;0;1;0;0;7458.105;1;black;1;1
106;43;9;0;1;0;0;0;1;black;1;1
107;27;13;0;0;0;0;34099.28;1;black;1;1
108;17;9;0;1;0;0;1953.268;1;black;1;1
109;30;11;0;1;0;0;0;1;black;1;1
110;26;10;1;1;2027.999;0;0;1;black;1;1
111;20;9;0;1;6083.994;0;8881.665;1;black;1;1
112;17;9;0;1;445.1704;74.34345;6210.67;1;hispanic;1;1
113;20;12;0;0;989.2678;165.2077;0;1;black;1;1
114;18;11;0;1;858.2543;214.5636;929.8839;1;black;1;1
115;27;12;1;0;3670.872;334.0493;0;1;black;1;1
116;21;12;0;0;3670.872;334.0494;12558.02;1;white;1;1
117;27;12;0;0;2143.413;357.9499;22163.25;1;black;1;1
118;20;12;0;0;0;377.5686;1652.637;1;black;1;1
119;19;10;0;1;0;385.2741;8124.715;1;black;1;1
120;23;12;0;0;5506.308;501.0741;671.3318;1;black;1;1
121;29;14;0;0;0;679.6734;17814.98;1;black;1;1
122;18;10;0;1;0;798.9079;9737.154;1;black;1;1
123;19;9;0;1;0;798.9079;17685.18;1;black;1;1
124;27;13;1;0;9381.566;853.7225;0;1;white;1;1
125;18;11;0;1;3678.231;919.5579;4321.705;1;white;1;1
126;27;9;1;1;0;934.4454;1773.423;1;black;1;1
127;22;12;0;0;5605.852;936.1773;0;1;black;1;1
128;23;10;1;1;0;936.4386;11233.26;1;black;1;1
129;23;12;0;0;9385.74;1117.439;559.4432;1;hispanic;1;1
130;20;11;0;1;3637.498;1220.836;1085.44;1;black;1;1
131;17;9;0;1;1716.509;1253.439;5445.2;1;black;1;1
132;28;11;0;1;0;1284.079;60307.93;1;black;1;1
133;26;11;1;1;0;1392.853;1460.36;1;black;1;1
134;20;11;0;1;16318.62;1484.994;6943.342;1;black;1;1
135;24;11;1;1;824.3886;1666.113;4032.708;1;black;1;1
136;31;9;0;1;0;1698.607;10363.27;1;black;1;1
137;23;8;1;1;0;1713.15;4232.309;1;white;1;1
138;18;10;0;1;2143.411;1784.274;11141.39;1;black;1;1
139;29;12;0;0;10881.94;1817.284;0;1;black;1;1
140;26;11;0;1;0;2226.266;13385.86;1;white;1;1
141;24;9;0;1;9154.7;2288.675;4849.559;1;black;1;1
142;25;12;0;0;14426.79;2409.274;0;1;black;1;1
143;24;10;0;1;4250.402;2421.947;1660.508;1;black;1;1
144;46;8;0;1;3165.658;2594.723;0;1;black;1;1
145;31;12;0;0;0;2611.218;2484.549;1;white;1;1
146;19;11;0;1;2305.026;2615.276;4146.603;1;black;1;1
147;19;8;0;1;0;2657.057;9970.681;1;black;1;1
148;27;11;0;1;2206.94;2666.274;0;1;black;1;1
149;26;11;1;1;0;2754.646;26372.28;1;black;1;1
150;20;10;0;1;5005.731;2777.355;5615.189;1;black;1;1
151;28;10;0;1;0;2836.506;3196.571;1;black;1;1
152;24;12;0;0;13765.75;2842.764;6167.681;1;black;1;1
153;19;8;0;1;2636.353;2937.264;7535.942;1;black;1;1
154;23;12;0;0;6269.341;3039.96;8484.239;1;black;1;1
155;42;9;1;1;0;3058.531;1294.409;1;black;1;1
156;25;13;0;0;12362.93;3090.732;0;1;black;1;1
157;18;9;0;1;0;3287.375;5010.342;1;black;1;1
158;21;12;0;0;6473.683;3332.409;9371.037;1;black;1;1
159;27;10;0;1;1001.146;3550.075;0;1;black;1;1
160;21;8;0;1;989.2678;3695.897;4279.613;1;black;1;1
161;22;9;0;1;2192.877;3836.986;3462.564;1;black;1;1
162;31;4;0;1;8517.589;4023.211;7382.549;1;black;1;1
163;24;10;1;1;11703.2;4078.152;0;1;black;1;1
164;29;10;0;1;0;4398.95;0;1;black;1;1
165;29;12;0;0;9748.387;4878.937;10976.51;1;black;1;1
166;19;10;0;1;0;5324.109;13829.62;1;white;1;1
167;19;11;1;1;5424.485;5463.803;6788.463;0;hispanic;1;1
168;31;9;0;1;10717.03;5517.841;9558.501;1;black;1;1
169;22;10;1;1;1468.348;5588.664;13228.28;1;black;1;1
170;21;9;0;1;6416.47;5749.331;743.6666;1;black;1;1
171;17;10;0;1;1291.468;5793.852;5522.788;1;black;1;1
172;26;12;1;0;8408.762;5794.831;1424.944;1;black;1;1
173;20;9;0;1;12260.78;5875.049;1358.643;1;hispanic;1;1
174;19;10;0;1;4121.949;6056.754;0;1;black;1;1
175;26;10;0;1;25929.68;6788.958;672.8773;1;black;1;1
176;28;11;0;1;1929.029;6871.856;0;1;black;1;1
177;22;12;1;0;492.2305;7055.702;10092.83;1;hispanic;1;1
178;33;11;0;1;0;7867.916;6281.433;1;black;1;1
179;22;12;0;0;6759.994;8455.504;12590.71;1;white;1;1
180;29;10;0;1;0;8853.674;5112.014;0;hispanic;1;1
181;33;12;1;0;20279.95;10941.35;15952.6;1;black;1;1
182;25;14;1;0;35040.07;11536.57;36646.95;1;black;1;1
183;35;9;1;1;13602.43;13830.64;12803.97;1;black;1;1
184;35;8;1;1;13732.07;17976.15;3786.628;1;black;1;1
185;33;11;1;1;14660.71;25142.24;4181.942;1;black;1;1
186;47;12;0;0;0;0;0;1;white;0;2
187;50;12;1;0;0;0;0;1;black;0;2
188;44;12;0;0;0;0;0;0;white;0;2
189;28;12;1;0;0;0;0;1;black;0;2
190;54;12;1;0;0;0;0;0;white;0;2
191;55;12;1;0;0;0;0;0;hispanic;0;2
192;47;12;1;0;0;0;0;0;white;0;2
193;25;12;0;0;0;0;0;1;black;0;2
194;44;12;1;0;0;0;0;0;white;0;2
195;50;12;1;0;0;0;0;1;black;0;3
196;23;12;0;0;0;0;4728.725;1;black;0;2
197;49;14;1;0;0;0;0;0;white;0;2
198;55;14;1;0;0;0;0;0;white;0;3
199;34;14;1;0;0;0;0;1;black;0;2
200;34;16;1;0;0;0;11821.813;0;white;0;3
201;55;13;1;0;0;0;0;0;hispanic;0;2
202;52;12;1;0;0;0;0;0;white;0;2
203;52;15;1;0;0;0;0;0;white;0;3
204;30;16;1;0;0;0;0;0;white;0;3
205;21;12;0;0;0;0;0;0;white;0;3
206;30;17;0;0;0;0;0;1;white;0;3
207;44;12;1;0;0;0;0;0;white;0;2
208;46;12;0;0;0;0;0;0;white;0;2
209;53;17;1;0;0;0;0;0;white;0;3
210;26;16;0;0;0;0;9014.1321;1;white;0;3
211;49;12;1;0;0;0;13299.539;0;white;0;3
212;39;15;1;0;0;0;1921.0445;0;white;0;3
213;26;17;1;0;0;0;11821.813;1;white;0;3
214;32;16;1;0;0;0;0;0;white;0;2
215;34;12;1;0;0;0;0;0;white;0;3
216;31;14;1;0;0;0;0;0;white;0;3
217;39;17;1;0;0;0;8866.3594;0;hispanic;0;2
218;40;17;1;0;0;0;0;0;white;0;3
219;31;12;1;0;0;0;0;1;white;0;2
220;27;13;1;0;0;0;28076.805;1;white;0;3
221;48;12;1;0;0;0;0;0;white;0;3
222;41;13;1;0;0;0;0;1;white;0;3
223;26;14;0;0;0;0;0;1;white;0;2
224;50;17;0;0;0;0;0;0;white;0;3
225;48;12;1;0;0;0;12930.108;0;white;0;2
226;45;16;1;0;0;0;0;1;white;0;2
227;37;13;1;0;0;0;0;0;white;0;2
228;33;12;1;0;0;0;0;1;white;0;2
229;31;12;1;0;0;0;0;1;white;0;3
230;36;12;1;0;0;0;17732.719;0;black;0;2
231;44;13;1;0;0;0;0;0;white;0;2
232;28;17;1;0;0;0;0;0;white;0;3
233;30;17;1;0;0;0;0;1;white;0;3
234;42;16;1;0;0;0;0;0;white;0;3
235;30;12;1;0;0;0;0;0;white;0;2
236;27;16;1;0;0;0;0;1;white;0;2
237;37;12;1;0;0;0;0;1;white;0;2
238;37;12;1;0;0;0;0;0;white;0;3
239;45;12;1;0;0;0;22165.899;0;white;0;3
240;35;16;1;0;0;0;0;0;white;0;3
241;37;17;1;0;0;0;66497.696;0;white;0;2
242;27;17;1;0;0;0;0;1;white;0;3
243;47;14;1;0;0;0;0;0;white;0;3
244;48;12;1;0;0;0;0;0;white;0;2
245;42;12;1;0;0;0;0;0;white;0;2
246;43;12;1;0;0;0;0;1;white;0;2
247;46;12;1;0;0;0;0;1;white;0;2
248;46;12;1;0;0;0;0;1;white;0;2
249;46;12;1;0;0;0;0;0;white;0;2
250;29;16;1;0;0;0;8396.4424;0;white;0;3
251;39;13;1;0;0;0;0;0;white;0;2
252;32;12;1;0;0;0;0;0;white;0;2
253;48;16;1;0;0;0;0;1;white;0;3
254;48;16;1;0;0;0;0;0;white;0;3
255;41;13;1;0;0;0;0;1;white;0;3
256;42;13;1;0;0;0;0;0;white;0;2
257;42;13;1;0;0;0;0;0;white;0;2
258;42;13;1;0;0;0;0;0;white;0;3
259;54;13;1;0;0;0;0;1;white;0;3
260;29;14;1;0;0;0;0;0;white;0;3
261;54;12;1;0;0;0;0;0;white;0;2
262;54;12;1;0;0;0;0;0;white;0;2
263;26;14;1;0;0;0;0;1;white;0;2
264;43;17;1;0;0;0;36943.164;0;white;0;3
265;54;12;1;0;0;0;0;0;white;0;2
266;37;12;1;0;0;0;0;1;white;0;2
267;54;16;1;0;0;0;0;0;white;0;2
268;48;17;1;0;0;0;0;0;white;0;3
269;44;12;1;0;0;0;0;0;white;0;2
270;54;12;1;0;0;0;0;0;white;0;2
271;38;12;1;0;0;0;0;0;white;0;2
272;37;13;1;0;0;0;0;1;white;0;2
273;27;17;1;0;0;0;0;1;white;0;3
274;51;12;1;0;0;0;0;0;white;0;3
275;39;12;1;0;0;0;0;0;white;0;3
276;55;14;1;0;0;0;0;0;white;0;2
277;54;13;1;0;0;0;0;0;white;0;2
278;54;13;1;0;0;0;0;0;white;0;2
279;34;12;1;0;0;0;0;1;white;0;3
280;50;14;1;0;0;0;0;0;white;0;2
281;50;12;1;0;0;0;0;0;white;0;2
282;21;14;0;0;0;71.612903;3657.3733;0;hispanic;0;3
283;26;12;1;0;0;71.612903;0;0;white;0;3
284;21;13;0;0;0;692.85484;2659.9078;0;white;0;3
285;23;16;1;0;0;1521.7742;0;1;white;0;3
286;21;15;0;0;0;3222.5806;14777.266;1;white;0;2
287;23;14;0;0;0;3401.6129;5319.8157;1;white;0;3
288;27;16;1;0;0;4833.871;0;1;white;0;3
289;25;12;1;0;0;5729.0323;26599.078;1;white;0;3
290;27;17;0;0;0;6087.0968;7388.6329;1;white;0;3
291;55;12;1;0;0;6266.129;10344.086;0;white;0;2
292;20;12;1;0;0;7161.2903;0;0;white;0;3
293;18;12;1;0;0;8056.4516;19210.445;1;white;0;3
294;27;12;1;0;0;8235.4839;20688.172;0;white;0;3
295;28;16;1;0;0;8951.6129;36943.164;1;white;0;3
296;36;12;1;0;0;8951.6129;11821.813;1;black;0;2
297;33;13;1;0;0;10741.935;20688.172;1;black;0;2
298;36;12;1;0;0;10741.935;0;0;white;0;3
299;27;13;1;0;0;16112.903;29554.531;1;white;0;3
300;45;17;1;0;0;16112.903;17732.719;1;white;0;3
301;45;17;1;0;0;16112.903;17732.719;0;white;0;3
302;45;17;1;0;0;16112.903;17732.719;1;white;0;2
303;31;12;1;0;0;17903.226;0;0;white;0;3
304;34;12;1;0;0;17903.226;63542.243;0;white;0;2
305;34;12;1;0;0;17903.226;63542.243;0;white;0;3
306;47;14;1;0;0;17903.226;22165.899;0;white;0;3
307;35;16;1;0;0;19693.548;17732.719;1;white;0;3
308;43;17;1;0;0;21161.613;29554.531;1;white;0;3
309;25;12;1;0;0;21483.871;1220.6022;1;black;0;2
310;29;15;0;0;0;21483.871;22313.671;1;white;0;3
311;31;12;1;0;0;21483.871;20688.172;1;white;0;3
312;52;12;1;0;0;21483.871;22165.899;0;white;0;2
313;22;16;0;0;0;22558.065;32509.985;1;white;0;3
314;53;15;1;0;0;24169.355;28076.805;0;white;0;3
315;29;17;1;0;0;25959.677;36898.833;1;white;0;3
316;31;13;1;0;0;25959.677;39898.618;1;white;0;3
317;35;12;1;0;0;26138.71;29554.531;0;white;0;3
318;29;16;1;0;0;26854.839;23643.625;0;white;0;3
319;39;12;1;0;0;28645.161;31032.258;0;white;0;3
320;37;14;1;0;0;32225.806;0;1;white;0;3
321;30;14;1;0;0;32225.806;22165.899;0;white;0;3
322;43;17;1;0;0;42251.613;41376.344;1;white;0;3
323;32;17;1;0;0;46548.387;39898.618;1;white;0;3
324;44;12;1;0;0;71612.903;81274.962;0;white;0;3
325;32;16;1;0;577.98371;6910.6452;18609.011;1;white;0;3
326;43;12;1;0;715.13238;1879.8387;5910.9063;0;black;0;2
327;24;12;0;0;783.70672;0;10344.086;1;black;0;2
328;22;13;0;0;783.70672;0;2305.2535;1;white;0;3
329;35;15;1;0;979.6334;537.09677;0;1;white;0;3
330;26;15;0;0;979.6334;1879.8387;3250.9985;1;white;0;3
331;29;17;1;0;979.6334;8951.6129;0;1;white;0;3
332;23;12;0;0;1077.5967;3222.5806;5910.9063;1;black;0;2
333;19;12;1;0;1154.0081;8593.5484;26599.078;1;white;0;2
334;48;16;1;0;1240.2159;1466.2742;1152.6267;1;white;0;2
335;48;16;1;0;1240.2159;1466.2742;1152.6267;0;white;0;2
336;22;12;1;0;1269.6049;0;0;1;black;0;2
337;20;12;0;0;1367.5682;12532.258;2955.4531;0;black;0;2
338;24;17;1;0;1371.4868;0;24825.806;0;white;0;3
339;27;16;1;0;1469.4501;1253.2258;4363.7266;1;white;0;2
340;21;14;0;0;1506.6762;2685.4839;11082.949;1;white;0;3
341;53;13;1;0;1567.4134;3938.7097;4728.725;0;white;0;3
342;53;13;1;0;1567.4134;3938.7097;4728.725;0;white;0;2
343;53;16;1;0;1665.3768;0;2955.4531;0;white;0;2
344;22;15;1;0;1763.3401;5370.9677;22165.899;1;white;0;3
345;21;15;0;0;1763.3401;9667.7419;4137.6344;1;white;0;3
346;30;12;1;0;1959.2668;1790.3226;1477.7266;0;white;0;3
347;21;12;0;0;1959.2668;5460.4839;1152.6267;1;black;0;3
348;27;16;1;0;1959.2668;17545.161;21427.035;1;white;0;3
349;22;15;0;0;1967.1039;2864.5161;5024.2704;1;white;0;3
350;22;12;1;0;2006.2892;2470.6452;0;0;black;0;2
351;23;13;1;0;2155.1935;5370.9677;11378.495;1;white;0;2
352;33;12;1;0;2351.1202;0;2770.7373;0;white;0;2
353;24;13;0;0;2351.1202;3127.6935;14777.266;1;white;0;3
354;20;12;0;0;2351.1202;4475.8065;17732.719;1;black;0;2
355;22;16;0;0;2351.1202;23274.194;25860.215;1;white;0;3
356;19;12;1;0;2547.0468;10741.935;0;1;white;0;3
357;22;15;1;0;2547.0468;17187.097;25860.215;1;white;0;3
358;43;14;1;0;2645.0102;0;6992.6022;1;white;0;3
359;39;12;1;0;2742.9735;7161.2903;11821.813;0;white;0;3
360;28;12;0;0;2938.9002;2864.5161;0;1;black;0;2
361;19;14;0;0;2938.9002;3222.5806;0;1;white;0;3
362;26;17;1;0;2938.9002;12532.258;23643.625;1;white;0;3
363;18;12;1;0;3134.8269;11100;20688.172;1;white;0;2
364;23;15;1;0;3320.9572;2506.4516;9974.6544;1;white;0;3
365;24;12;0;0;3330.7536;4654.8387;11821.813;1;black;0;2
366;27;12;1;0;3526.6802;0;5910.9063;0;white;0;3
367;29;17;1;0;3526.6802;15217.742;24382.488;0;white;0;3
368;22;12;0;0;3579.5804;17133.387;11821.813;1;black;0;3
369;27;12;1;0;3722.6069;254.22581;1090.5622;1;white;0;3
370;27;15;1;0;3722.6069;4654.8387;19210.445;1;white;0;3
371;20;12;0;0;3730.444;8951.6129;13299.539;1;black;0;3
372;27;12;1;0;3918.5336;1994.4194;17732.719;1;black;0;2
373;23;12;1;0;3918.5336;2864.5161;8866.3594;1;black;0;2
374;23;12;1;0;3918.5336;11637.097;9752.9954;1;black;0;2
375;22;12;1;0;3918.5336;15396.774;39898.618;1;white;0;3
376;31;12;1;0;3918.5336;18440.323;24973.579;1;black;0;2
377;26;17;0;0;4173.2383;11637.097;9457.4501;1;white;0;3
378;20;12;1;0;4310.387;0;4433.1797;1;white;0;3
379;30;17;1;0;4310.387;4296.7742;22476.221;0;white;0;3
380;42;16;0;0;4398.554;17903.226;16254.992;1;white;0;3
381;21;14;1;0;4506.3136;9309.6774;23052.535;1;white;0;3
382;25;16;1;0;4604.277;2954.0323;0;1;white;0;3
383;27;15;1;0;4702.2403;0;0;0;white;0;3
384;26;17;1;0;4702.2403;19693.548;26599.078;1;white;0;3
385;29;16;1;0;4800.2037;17187.097;23643.625;1;white;0;3
386;20;12;0;0;4811.9593;716.12903;0;1;white;0;2
387;52;12;1;0;4898.167;0;0;0;white;0;2
388;23;17;0;0;4898.167;2148.3871;33987.711;0;white;0;3
389;21;14;1;0;4898.167;7161.2903;17141.628;1;white;0;3
390;24;16;0;0;4898.167;8951.6129;17732.719;1;white;0;3
391;30;17;1;0;4898.167;12084.677;5172.043;1;white;0;3
392;25;17;0;0;4996.1303;17414.468;5030.1813;1;white;0;3
393;21;12;1;0;5094.0937;6803.2258;7388.6329;1;white;0;3
394;28;12;1;0;5094.0937;10741.935;9014.1321;0;white;0;3
395;20;12;1;0;5182.2607;6266.129;15244.227;1;white;0;3
396;36;16;0;0;5290.0204;4833.871;5319.8157;0;white;0;3
397;19;12;0;0;5387.9837;8056.4516;12117.358;1;black;0;2
398;21;12;1;0;5868.0041;3043.5484;10048.541;0;black;0;2
399;47;12;1;0;5868.0041;9513.7742;5319.8157;0;white;0;3
400;24;16;1;0;5877.8004;4833.871;33987.711;1;white;0;3
401;24;12;1;0;5877.8004;8951.6129;17732.719;0;black;0;3
402;25;17;1;0;5877.8004;10562.903;30101.29;1;white;0;3
403;21;16;1;0;5877.8004;10562.903;16993.856;1;white;0;3
404;31;12;1;0;5877.8004;11064.194;15959.447;1;black;0;2
405;26;14;1;0;5877.8004;13427.419;31032.258;1;white;0;3
406;22;12;0;0;5891.5153;10367.758;5763.1336;1;black;0;2
407;20;13;0;0;5897.3931;12532.258;14777.266;1;black;0;2
408;20;13;1;0;6073.7271;10025.806;27337.942;0;hispanic;0;3
409;27;14;1;0;6269.6538;0;26007.988;1;white;0;3
410;26;12;0;0;6269.6538;11637.097;10344.086;1;white;0;3
411;23;17;1;0;6367.6171;5370.9677;0;1;white;0;3
412;23;12;0;0;6494.9694;12532.258;14186.175;1;black;0;2
413;22;12;0;0;6583.1365;4475.8065;0;1;black;0;3
414;21;12;0;0;6661.5071;11458.065;11208.556;1;black;0;3
415;21;12;1;0;6661.5071;12532.258;25121.352;1;white;0;2
416;28;14;1;0;6739.8778;7877.4194;13742.857;0;white;0;3
417;27;12;1;0;6855.4745;0;8275.2688;1;black;0;3
418;25;14;0;0;6857.4338;1790.3226;0;1;white;0;3
419;30;12;1;0;6857.4338;3222.5806;3250.9985;0;white;0;3
420;27;13;1;0;6857.4338;4096.2581;24514.006;1;black;0;2
421;22;13;0;0;6857.4338;6266.129;17363.287;1;white;0;3
422;23;16;1;0;6857.4338;14143.548;22165.899;1;white;0;3
423;24;12;1;0;6857.4338;14322.581;26599.078;1;black;0;3
424;19;13;0;0;6857.4338;15217.742;17732.719;0;white;0;3
425;21;14;1;0;6974.9898;11407.935;17141.628;1;white;0;3
426;29;17;1;0;7053.3605;7161.2903;8866.3594;1;white;0;3
427;27;16;1;0;7053.3605;11637.097;25121.352;1;white;0;3
428;28;15;1;0;7249.2872;15217.742;9161.9048;1;white;0;3
429;26;12;1;0;7406.0285;0;2955.4531;0;white;0;2
430;54;12;1;0;7445.2138;0;0;0;white;0;2
431;28;15;0;0;7445.2138;0;12708.449;1;black;0;3
432;27;15;1;0;7445.2138;10741.935;18471.582;1;white;0;3
433;26;13;0;0;7449.1324;5729.0323;9605.2227;1;white;0;2
434;21;12;1;0;7523.5845;7934.7097;0;1;white;0;3
435;53;14;1;0;7641.1405;8421.6774;8127.4962;0;black;0;2
436;21;13;1;0;7688.1629;12743.516;11082.949;1;white;0;3
437;22;13;0;0;7739.1039;3759.6774;16254.992;1;white;0;3
438;27;16;0;0;7837.0672;0;0;1;white;0;3
439;37;15;1;0;7837.0672;179.03226;11821.813;0;hispanic;0;3
440;33;13;0;0;7837.0672;3580.6452;16254.992;0;white;0;2
441;19;12;0;0;7837.0672;3759.6774;3694.3164;1;black;0;2
442;28;12;1;0;7837.0672;4475.8065;15663.902;1;white;0;3
443;32;12;1;0;7837.0672;5370.9677;8866.3594;1;black;0;2
444;24;12;0;0;7837.0672;5370.9677;5910.9063;1;white;0;2
445;22;12;0;0;7837.0672;7497.871;17732.719;1;white;0;2
446;20;12;1;0;7837.0672;8951.6129;20688.172;1;black;0;3
447;23;12;1;0;7837.0672;8951.6129;12058.249;0;white;0;3
448;27;12;1;0;7837.0672;8951.6129;2210.679;1;black;0;2
449;23;12;1;0;7837.0672;12532.258;21870.353;1;black;0;2
450;19;12;1;0;7837.0672;12532.258;13299.539;0;hispanic;0;3
451;27;14;0;0;7837.0672;14322.581;16254.992;1;white;0;3
452;22;16;1;0;7837.0672;16112.903;16254.992;1;white;0;3
453;42;12;1;0;7837.0672;16112.903;15516.129;0;white;0;3
454;20;13;0;0;7837.0672;17491.452;2216.5899;1;white;0;3
455;29;13;0;0;7958.5418;0;0;0;white;0;3
456;23;12;1;0;7993.8086;13427.419;4433.1797;1;black;0;2
457;19;12;1;0;8054.5458;9309.6774;11963.674;1;white;0;3
458;21;12;1;0;8150.5499;13092.629;10583.478;1;black;0;3
459;26;12;1;0;8228.9206;13606.452;11969.585;1;white;0;3
460;21;16;0;0;8228.9206;22379.032;27337.942;1;white;0;3
461;24;12;1;0;8275.943;15416.468;8335.8556;1;black;0;3
462;29;12;1;0;8389.5804;5908.0645;14481.72;1;white;0;3
463;26;12;1;0;8616.8554;8593.5484;10344.086;1;black;0;2
464;23;14;1;0;8675.6334;10398.194;13003.994;1;black;0;2
465;25;12;0;0;8683.4705;9130.6452;15811.674;0;white;0;3
466;21;12;1;0;8816.7006;5729.0323;18096.24;1;white;0;2
467;25;12;0;0;8816.7006;6266.129;10344.086;1;black;0;2
468;22;12;1;0;8816.7006;9939.871;15486.575;1;white;0;3
469;22;12;1;0;8816.7006;10741.935;19653.763;0;white;0;2
470;23;12;1;0;8816.7006;12174.194;18471.582;1;black;0;2
471;18;12;0;0;8816.7006;14322.581;22165.899;0;white;0;3
